extractSampleNumber,samplingBlock,motherCommunity,communityNumber,timePoint,extractPlate,extractRow,extractCol,extractLocation,flySpeciesID,parasitoidPresence,parasitoidID,comment
1,,,,T1,1,A,1,1-A01,,,,
2,,,,T1,1,A,2,1-A02,,,,
3,,,,T1,1,A,3,1-A03,,,,
4,,,,T1,1,A,4,1-A04,,,,
5,,,,T1,1,A,5,1-A05,,,,
6,,,,T1,1,A,6,1-A06,,,,
7,,,,T1,1,A,7,1-A07,,,,
8,,,,T1,1,A,8,1-A08,,,,
9,,,,T1,1,A,9,1-A09,,,,
10,,,,T1,1,A,10,1-A10,,,,
11,,,,T1,1,A,11,1-A11,,,,
12,,,,T1,1,A,12,1-A12,,,,
13,,,,T1,1,B,1,1-B01,,,,
14,,,,T1,1,B,2,1-B02,,,,
15,,,,T1,1,B,3,1-B03,,,,
16,,,,T1,1,B,4,1-B04,,,,
17,,,,T1,1,B,5,1-B05,,,,
18,,,,T1,1,B,6,1-B06,,,,
19,,,,T1,1,B,7,1-B07,,,,
20,,,,T1,1,B,8,1-B08,,,,
21,,,,T1,1,B,9,1-B09,,,,
22,,,,T1,1,B,10,1-B10,,,,
23,,,,T1,1,B,11,1-B11,,,,
24,,,,T1,1,B,12,1-B12,,,,
25,,,,T1,1,C,1,1-C01,,,,
26,,,,T1,1,C,2,1-C02,,,,
27,,,,T1,1,C,3,1-C03,,,,
28,,,,T1,1,C,4,1-C04,,,,
29,,,,T1,1,C,5,1-C05,,,,
30,,,,T1,1,C,6,1-C06,,,,
31,,,,T1,1,C,7,1-C07,,,,
32,,,,T1,1,C,8,1-C08,,,,
33,,,,T1,1,C,9,1-C09,,,,
34,,,,T1,1,C,10,1-C10,,,,
35,,,,T1,1,C,11,1-C11,,,,
36,,,,T1,1,C,12,1-C12,,,,
37,,,,T2,1,D,1,1-D01,,,,
38,,,,T2,1,D,2,1-D02,,,,
39,,,,T2,1,D,3,1-D03,,,,
40,,,,T2,1,D,4,1-D04,,,,
41,,,,T2,1,D,5,1-D05,,,,
42,,,,T2,1,D,6,1-D06,,,,
43,,,,T2,1,D,7,1-D07,,,,
44,,,,T2,1,D,8,1-D08,,,,
45,,,,T2,1,D,9,1-D09,,,,
46,,,,T2,1,D,10,1-D10,,,,
47,,,,T2,1,D,11,1-D11,,,,
48,,,,T2,1,D,12,1-D12,,,,
49,,,,T2,1,E,1,1-E01,,,,
50,,,,T2,1,E,2,1-E02,,,,
51,,,,T2,1,E,3,1-E03,,,,
52,,,,T2,1,E,4,1-E04,,,,
53,,,,T2,1,E,5,1-E05,,,,
54,,,,T2,1,E,6,1-E06,,,,
55,,,,T2,1,E,7,1-E07,,,,
56,,,,T2,1,E,8,1-E08,,,,
57,,,,T2,1,E,9,1-E09,,,,
58,,,,T2,1,E,10,1-E10,,,,
59,,,,T2,1,E,11,1-E11,,,,
60,,,,T2,1,E,12,1-E12,,,,
61,,,,T2,1,F,1,1-F01,,,,
62,,,,T2,1,F,2,1-F02,,,,
63,,,,T2,1,F,3,1-F03,,,,
64,,,,T2,1,F,4,1-F04,,,,
65,,,,T2,1,F,5,1-F05,,,,
66,,,,T2,1,F,6,1-F06,,,,
67,,,,T3,1,F,7,1-F07,,,,
68,,,,T3,1,F,8,1-F08,,,,
69,,,,T3,1,F,9,1-F09,,,,
70,,,,T3,1,F,10,1-F10,,,,
71,,,,T3,1,F,11,1-F11,,,,
72,,,,T3,1,F,12,1-F12,,,,
73,,,,T3,1,G,1,1-G01,,,,
74,,,,T3,1,G,2,1-G02,,,,
75,,,,T3,1,G,3,1-G03,,,,
76,,,,T3,1,G,4,1-G04,,,,
77,,,,T3,1,G,5,1-G05,,,,
78,,,,T3,1,G,6,1-G06,,,,
79,,,,T3,1,G,7,1-G07,,,,
80,,,,T3,1,G,8,1-G08,,,,
81,,,,T3,1,G,9,1-G09,,,,
82,,,,T3,1,G,10,1-G10,,,,
83,,,,T3,1,G,11,1-G11,,,,
84,,,,T3,1,G,12,1-G12,,,,
85,,,,T3,1,H,1,1-H01,,,,
86,,,,T3,1,H,2,1-H02,,,,
87,,,,T3,1,H,3,1-H03,,,,
88,,,,T3,1,H,4,1-H04,,,,
89,,,,T3,1,H,5,1-H05,,,,
90,,,,T3,1,H,6,1-H06,,,,
91,,,,T3,1,H,7,1-H07,,,,
92,,,,T3,1,H,8,1-H08,,,,
93,,,,T3,1,H,9,1-H09,,,,
94,,,,T3,1,H,10,1-H10,,,,
95,,,,T3,1,H,11,1-H11,,,,
96,,,,negctrl-1,1,H,12,1-H12,,,,
97,,,,T1,2,A,1,2-A01,,,,
98,,,,T1,2,A,2,2-A02,,,,
99,,,,T1,2,A,3,2-A03,,,,
100,,,,T1,2,A,4,2-A04,,,,
101,,,,T1,2,A,5,2-A05,,,,
102,,,,T1,2,A,6,2-A06,,,,
103,,,,T1,2,A,7,2-A07,,,,
104,,,,T1,2,A,8,2-A08,,,,
105,,,,T1,2,A,9,2-A09,,,,
106,,,,T1,2,A,10,2-A10,,,,
107,,,,T1,2,A,11,2-A11,,,,
108,,,,T1,2,A,12,2-A12,,,,
109,,,,T1,2,B,1,2-B01,,,,
110,,,,T1,2,B,2,2-B02,,,,
111,,,,T1,2,B,3,2-B03,,,,
112,,,,T1,2,B,4,2-B04,,,,
113,,,,T1,2,B,5,2-B05,,,,
114,,,,T1,2,B,6,2-B06,,,,
115,,,,T1,2,B,7,2-B07,,,,
116,,,,T1,2,B,8,2-B08,,,,
117,,,,T1,2,B,9,2-B09,,,,
118,,,,T1,2,B,10,2-B10,,,,
119,,,,T1,2,B,11,2-B11,,,,
120,,,,T1,2,B,12,2-B12,,,,
121,,,,T1,2,C,1,2-C01,,,,
122,,,,T1,2,C,2,2-C02,,,,
123,,,,T1,2,C,3,2-C03,,,,
124,,,,T1,2,C,4,2-C04,,,,
125,,,,T1,2,C,5,2-C05,,,,
126,,,,T1,2,C,6,2-C06,,,,
127,,,,T1,2,C,7,2-C07,,,,
128,,,,T1,2,C,8,2-C08,,,,
129,,,,T1,2,C,9,2-C09,,,,
130,,,,T1,2,C,10,2-C10,,,,
131,,,,T1,2,C,11,2-C11,,,,
132,,,,T1,2,C,12,2-C12,,,,
133,,,,T2,2,D,1,2-D01,,,,
134,,,,T2,2,D,2,2-D02,,,,
135,,,,T2,2,D,3,2-D03,,,,
136,,,,T2,2,D,4,2-D04,,,,
137,,,,T2,2,D,5,2-D05,,,,
138,,,,T2,2,D,6,2-D06,,,,
139,,,,T2,2,D,7,2-D07,,,,
